Broodstock ID,ARC Hub Tube Label,ARC determined genotype,GAVcopies/ng,GAV copies/ug,lgGAV
355,G1T1701_BR198,G1T1701_BR_181_MP,960.61,960605.94,5.98
356,G1T1701_BR162,not in dart analysis,978.57,978572.98,5.99
357,G1T1701_BR467,G1T1701_BR_443_MP,1027.48,1027483.89,6.01
358,G1T1701_BR461,G1T1701_BR_437_MP,1045.98,1045976.84,6.02
359,G1T1701_BR279,G1T1701_BR_262_MP,1072.97,1072974.50,6.03
360,G1T1701_BR094,G1T1701_BR_090_M,1084.19,1084193.42,6.04
361,G1T1701_BR426,G1T1701_BR_404_MP,1091.43,1091431.19,6.04
362,G1T1701_BR180,G1T1701_BR_163_MP,1094.66,1094661.63,6.04
363,G1T1701_BR058,G1T1701_BR_078_MP,1099.51,1099514.65,6.04
364,G1T1701_BR475,G1T1701_BR_451_MP,1224.67,1224673.78,6.09
365,G1T1701_BR250,G1T1701_BR_233_MP,1286.76,1286762.23,6.11
366,G1T1701_BR420,G1T1701_BR_398_MP,1339.78,1339780.61,6.13
457,G1T1701BR_436,not in dart analysis,1407.59,1407592.57,6.15
367,G1T1701_BR448,G1T1701_BR_425_MP,1447.27,1447273.48,6.16
