PrawnID,GAV,Age,Class,FamID,IntFamID
G1T1701_149_005_G2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_005_G1_G,1.53,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_005_F11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_005_F10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_005_F1_G,4.62,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_005_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_005_B9_G,1.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_005_B11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_004_H9_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_004_H5_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_004_G6_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_004_G11_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_004_F3_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_004_E4_G,5.62,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_004_B4_G,2.62,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_H6_G,1.94,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_H5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_G9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_G7_G,2.43,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_G4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_G11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_G10_G,3.54,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_G1_G,2.18,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_F9_G,2.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_F7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_F4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_F1_G,1.17,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_E8_G,1.28,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_E4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_E10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_D2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_D10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_C5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_C10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_B6_G,4.31,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_B11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_A9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_003_A11_G,1.34,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_H7_G,4.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_H5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_H10_G,3.58,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_G8_G,2.37,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_G3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_F8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_E6_G,5.06,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_E12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_D8_G,2.27,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_D4_G,3.49,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_D12_G,2.09,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_B5_G,2.81,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_B4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_B2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_A7_G,6.53,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_A6_G,4.42,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_A4_G,2.06,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_002_A2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_001_G1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_001_F6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_001_D7_G,1.4,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_001_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_001_C7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_001_C4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_149_001_C3_G,1.65,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
