PrawnID,GAV,Class,Family ID,,,Family,,Offspring count
G1T1701_149_003_E11_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_024_P,,,,,
G1T1701_149_003_E12_G,0.00,Offspring,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,
G1T1701_149_003_E2_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_003_E3_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_024_P,,,,,
G1T1701_149_003_E4_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_F10_G,0.00,Offspring,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,
G1T1701_149_003_F11_G,0.00,Offspring,G1T1701_BR_062_P__G1T1701_BR_023_P,,,,,
G1T1701_149_003_F4_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_F5_G,0.00,Offspring,G1T1701_BR_054_P__G1T1701_BR_017_P,,,,,
G1T1701_149_003_F6_G,0.00,Offspring,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,
G1T1701_149_003_F7_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_G11_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_G3_G,0.00,Offspring,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,
G1T1701_149_003_G4_G,0.00,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_149_003_G5_G,0.00,Offspring,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,
